ONCOTREE_CODE	NCIT_CODE	UMLS_CODE	ICDO_TOPOGRAPHY_CODE	ICDO_MORPHOLOGY_CODE	HEMEONC_CODE
MMB	C3706	C0205833			
AIS	C4123	C0334276	C80.9	8140/2	
AASTR	C9477	C0334579	C72.9	9401/3	
FL	C3209	C0024301	C42.4	9690/3	599
VIMT	C4286	C0334520	C57.9	9080/3	
KIDNEY	C12415	C0022646			
MDEP	C4327	C0334596	C72.9	9501/3	
PAOS	C8969	C0206642	C41.9	9192/3	
PRSCC	C6766	C1300585	C61.9	8002/3	
DSTAD	C9159	C0279635	C16.9	8145/3	
SECOS	C53704	C1710042	C41.9	9184/3	
ARMS	C3749	C0206655	C49.9	8920/3	
PT	C7575	C0238031	C50.9	9020/1	
MSCHW	C6970	C1306247	C47.9	9560/1	
SCST	C4862	C0600113	C56.9	8590/1	
MBC	C5164	C1334708	C50.9	8575/3	
SCCE	C7982	C0279674	C53.9	8002/3	
AWDNET	C96422	C3272767	C18.1	8240/3	
ROCY	C4526	C0346255	C64.9	8290/0	
VMM	C27394	C2004576	C57.9	8746/3	
LAM	C38153	C0349649	C34.9	9174/1	
CHDM	C2947	C0008487	C41.9	9370/3	
ACPP	C53686	C1266176	C72.9	9390/1	
PSTAD	C5472	C1333785	C16.9	8260/3	
MEL	C3224	C0025202	C44.9	8720/3	629
CABC	C40213	C1516403			
SCCO	C27390	C2212006	C56.9	8041/3	
MFS	C6496	C0334454	C49.9	8811/3	
GNBL	C3790	C0206718	C47.9	9490/3	
CM	C4550	C0346360	C69.0	8720/3	
PRCC	C6975	C1306837	C64.9	8260/3	
BLPT	C5316	C1332592			
SELT	C4944	C0748616	C72.9	8000/3	
LUPC	C45542	C1711397	C34.9	8022/3	
VMGCT	C4290	C0334524	C57.9	9085/3	
GCLC	C4452	C0345960	C34.9	8031/3	
UASC	C4519	C0346202	C55.9	8560/3	
PXA	C4323	C0334586	C72.9	9424/3	
EPM	C3017	C0014474	C72.9	9391/3	
OFMT	C6582	C1266128	C49.9	8842/0	
PACT	C41247	C1518872	C25.9	8000/3	
LUSC	C3493	C0149782	C34.9	8070/3	
FLC	C4131	C0334287	C22.0	8171/3	
CMC	C60641	C1880119	C18.9	8510/3	
SRAP	C43554	C1711320	C18.1	8490/3	
ATM	C4723	C0431122	C70.9	9539/1	
MASCC	C40358	C1519487			
CHOM	C6908	C1370510			
LUNG	C12468	C0024109	C34.9	8000/3	46104
PCNSL	C9301	C0280803	C42.4	9680/3	
LXSC	C4044	C0280324	C32.9	8070/3	
ADRENAL_GLAND	C12666	C0001625	C74.9	8000/3	
RHM	C6909	C0259786	C70.9	9538/3	
WDLS	C4250	C1370889	C49.9	8851/3	
PEMESO	C7633	C1377610	C48.2	9050/3	
HNSC	C34447	C1168401	C76.0	8070/3	
AFX	C4246	C0346053			
DESM	C37257	C0334439	C44.9	8745/3	
MBOV	C40036	C0279664	C56.9	8472/1	
OEC	C8108	C0346183			
SCLC	C4917	C0149925	C34.9	8041/3	666
PMA	C40315	C1519086	C72.9	9425/3	
PSCC	C7729	C0238348	C60.9	8070/3	
ACBC	C5130	C1332167	C50.9	8200/3	
CEAIS	C4520	C0346203	C53.9	8140/2	
ODYS	C8106	C0346185	C56.9	9060/3	
OPHSC	C8181	CL497390	C10.9	8070/3	643
PD	C3301	C1704323	C50.0	8540/3	
SUBE	C3795	C0206725	C72.9	9383/1	
ARMM	C4639	C0349538	C21.8	8746/3	
TISSUE	C12801	C0040300			
FIOS	C4020	C0279602	C41.9	9182/3	
HGSOC			C56.9	8441/3	
THHC	C4946	C0749424	C73.9	8290/3	
LUNE	C6875	C1265996	C34.9	8013/3	
THME	C3879	C0238462	C73.9	8510/3	
IDC	C4194	C1134719	C50.9	8521/3	
TSTAD	C5473	C1333791	C16.9	8211/3	
OGBL	C39985	C1518716			
PSC	C5712	C1335316	C25.9	8441/0	
RSCC	C116317	C2212425	C64.9	8002/3	
BLCA	C39851	C0279680	C67.9	8120/3	569
BCCA	C2948	C0008497	C72.9	9100/3	
NMZL	C8863	C0855139			
SWDNET	C95871	C3272399	C16.9	8240/3	
USCC	C6165	C1336890	C68.0	8070/3	
EMCHS	C27502	C1275278	C41.9	9231/3	
SRCBC	C39823	C1512742	C67.9	8490/3	
ONBL	C3789	C0206717	C72.9	9522/3	
