primary	secondary	tertiary	quaternary	quinternary	metamaintype	metacolor	metanci	metaumls	metanccn
Adrenal Gland (ADRENAL_GLAND)	Adrenocortical Adenoma (ACA)				Adrenocortical Carcinoma	Purple	C9003	C0206667	
Adrenal Gland (ADRENAL_GLAND)	Adrenocortical Carcinoma (ACC)				Adrenocortical Carcinoma	Purple	C9325	C0206686	
Adrenal Gland (ADRENAL_GLAND)	Pheochromocytoma (PHC)				Pheochromocytoma	Purple	C3326	C0031511	
Ampulla of Vater (AMPULLA_OF_VATER)	Ampullary Carcinoma (AMPCA)				Ampullary Carcinoma	Purple	C3908	C0262401	
Ampulla of Vater (AMPULLA_OF_VATER)	Ampullary Carcinoma (AMPCA)	Intestinal Ampullary Carcinoma (IAMPCA)			Ampullary Carcinoma	Purple	C27415	C1332247	
Ampulla of Vater (AMPULLA_OF_VATER)	Ampullary Carcinoma (AMPCA)	Mixed Ampullary Carcinoma (MAMPCA)			Ampullary Carcinoma	Purple	C95986	C3272482	
Ampulla of Vater (AMPULLA_OF_VATER)	Ampullary Carcinoma (AMPCA)	Pancreatobiliary Ampullary Carcinoma (PAMPCA)			Ampullary Carcinoma	Purple	C95963	C3272461	
Biliary Tract (BILIARY_TRACT)	Cholangiocarcinoma (CHOL)				Hepatobiliary Cancer	Green	C4436	C0206698	Hepatobiliary Cancers
Biliary Tract (BILIARY_TRACT)	Cholangiocarcinoma (CHOL)	Extrahepatic Cholangiocarcinoma (EHCH)			Hepatobiliary Cancer	Green	C7975	C0279659	Hepatobiliary Cancers
Biliary Tract (BILIARY_TRACT)	Cholangiocarcinoma (CHOL)	Intrahepatic Cholangiocarcinoma (IHCH)			Hepatobiliary Cancer	Green	C35417	C0345905	Hepatobiliary Cancers
Biliary Tract (BILIARY_TRACT)	Cholangiocarcinoma (CHOL)	Perihilar Cholangiocarcinoma (PHCH)			Hepatobiliary Cancer	Green	C96804	C3273047	Hepatobiliary Cancers
Biliary Tract (BILIARY_TRACT)	Gallbladder Cancer (GBC)				Hepatobiliary Cancer	Green	C3844	C0235782	Hepatobiliary Cancers
Bladder/Urinary Tract (BLADDER)	Bladder Squamous Cell Carcinoma (BLSC)				Bladder Cancer	Yellow	C4031	C0279681	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Bladder Adenocarcinoma (BLAD)				Bladder Cancer	Yellow	C4032	C0279682	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Bladder Urothelial Carcinoma (BLCA)				Bladder Cancer	Yellow	C39851	C0279680	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Inflammatory Myofibroblastic Bladder Tumor (IMTB)				Bladder Cancer	Yellow	C6177	C1336891	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Mucosal Melanoma of the Urethra (URMM)				Melanoma	Yellow			Melanoma
Bladder/Urinary Tract (BLADDER)	Plasmacytoid/Signet Ring Cell Bladder Carcinoma (SRCBC)				Bladder Cancer	Yellow	C6163	C1332563	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Sarcomatoid Carcinoma of the Urinary Bladder (SCB)				Bladder Cancer	Yellow	C39824	C1512743	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Small Cell Bladder Cancer (SCBC)				Bladder Cancer	Yellow	C9461	C1332564	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Upper Tract Urothelial Carcinoma (UTUC)				Bladder Cancer	Yellow			Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Urachal Carcinoma (URCA)				Bladder Cancer	Yellow	C39842	C1511205	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Urachal Carcinoma (URCA)	Urachal Adenocarcinoma (UA)			Bladder Cancer	Yellow	C39843	C1511204	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Urethral Cancer (UCA)				Bladder Cancer	Yellow	C9106	C0700101	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Urethral Cancer (UCA)	Urethral Adenocarcinoma (UAD)			Bladder Cancer	Yellow	C6167	C1336885	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Urethral Cancer (UCA)	Urethral Squamous Cell Carcinoma (USCC)			Bladder Cancer	Yellow	C6165	C1336890	Bladder Cancer
Bladder/Urinary Tract (BLADDER)	Urethral Cancer (UCA)	Urethral Urothelial Carcinoma (UCU)			Bladder Cancer	Yellow	C6166	C0863015	Bladder Cancer
Bone (BONE)	Chondroblastoma (CHBL)				Bone Cancer	White	C2945	C0008441	Bone Cancer
Bone (BONE)	Chondrosarcoma (CHS)				Bone Cancer	White	C2946	C0008479	Bone Cancer
Bone (BONE)	Chondrosarcoma (CHS)	Dedifferentiated Chondrosarcoma (DDCHS)			Bone Cancer	White	C6476	C0862878	Bone Cancer
Bone (BONE)	Chondrosarcoma (CHS)	Extraskeletal Myxoid Chondrosarcoma (EMCHS)			Bone Cancer	White	C27502	C1275278	Bone Cancer
Bone (BONE)	Chondrosarcoma (CHS)	Mesenchymal Chondrosarcoma (MCHS)			Bone Cancer	White	C53493	C1708980	Bone Cancer
Bone (BONE)	Chondrosarcoma (CHS)	Myxoid Chondrosarcoma (MYCHS)			Bone Cancer	White	C4303	C0334551	Bone Cancer
Bone (BONE)	Chordoma (CHDM)				Bone Cancer	White	C2947	C0008487	Bone Cancer
Bone (BONE)	Chordoma (CHDM)	Conventional Type Chordoma (CCHDM)			Bone Cancer	White			Bone Cancer
Bone (BONE)	Chordoma (CHDM)	Dedifferentiated Chordoma  (DDCHDM)			Bone Cancer	White	C48876	C1266174	Bone Cancer
Bone (BONE)	Ewing Sarcoma (ES)				Bone Cancer	White	C4835	C0585474	Bone Cancer
Bone (BONE)	Giant Cell Tumor of Bone (GCTB)				Bone Cancer	White	C121932	C0206638	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)				Bone Cancer	White	C53707	C0585442	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Chondroblastic Osteosarcoma (CHOS)			Bone Cancer	White	C4021	C0279603	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Fibroblastic Osteosarcoma (FIOS)			Bone Cancer	White	C4020	C0279602	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	High-Grade Surface Osteosarcoma (HGSOS)			Bone Cancer	White	C53958	C1266165	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Low-Grade Central Osteosarcoma (LGCOS)			Bone Cancer	White	C6474	C1266163	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Osteoblastic Osteosarcoma (OSOS)			Bone Cancer	White	C53953	C1704328	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Parosteal Osteosarcoma (PAOS)			Bone Cancer	White	C8969	C0206642	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Periosteal Osteosarcoma (PEOS)			Bone Cancer	White	C8970	C1377843	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Secondary Osteosarcoma (SECOS)			Bone Cancer	White	C53704	C1710042	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Small Cell Osteosarcoma (SCOS)			Bone Cancer	White	C4023	C0279622	Bone Cancer
Bone (BONE)	Osteosarcoma (OS)	Telangiectatic Osteosarcoma (TEOS)			Bone Cancer	White	C3902	C0259782	Bone Cancer
Bowel (BOWEL)	Anal Gland Adenocarcinoma (AGA)				Anal Cancer	SaddleBrown	C5609	C1266027	
Bowel (BOWEL)	Anal Squamous Cell Carcinoma (ANSC)				Anal Cancer	SaddleBrown	C9161	C1412036	Anal Carcinoma
Bowel (BOWEL)	Anorectal Mucosal Melanoma (ARMM)				Melanoma	SaddleBrown	C4639	C0349538	Melanoma
Bowel (BOWEL)	Appendiceal Adenocarcinoma (APAD)				Appendiceal Cancer	SaddleBrown	C7718	C0238003	
Bowel (BOWEL)	Appendiceal Adenocarcinoma (APAD)	Colonic Type Adenocarcinoma of the Appendix (CTAAP)			Appendiceal Cancer	SaddleBrown			
Bowel (BOWEL)	Appendiceal Adenocarcinoma (APAD)	Goblet Cell Carcinoid of the Appendix (GCCAP)			Appendiceal Cancer	SaddleBrown	C3689	C0205695	
Bowel (BOWEL)	Appendiceal Adenocarcinoma (APAD)	Mucinous Adenocarcinoma of the Appendix (MAAP)			Appendiceal Cancer	SaddleBrown	C43558	C1706832	
Bowel (BOWEL)	Appendiceal Adenocarcinoma (APAD)	Signet Ring Cell Type of the Appendix (SRAP)			Appendiceal Cancer	SaddleBrown	C43554	C1711320	
Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)				Colorectal Cancer	SaddleBrown	C5105	C1319315	Colon/Rectal Cancer
Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)	Colon Adenocarcinoma (COAD)			Colorectal Cancer	SaddleBrown	C4349	C0338106	Colon/Rectal Cancer
Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)	Colon Adenocarcinoma In Situ (CAIS)			Colorectal Cancer	SaddleBrown	C3638	C0154061	
Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)	Mucinous Adenocarcinoma of the Colon and Rectum (MACR)			Colorectal Cancer	SaddleBrown	C43585	C1707439	Colon/Rectal Cancer
Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)	Rectal Adenocarcinoma (READ)			Colorectal Cancer	SaddleBrown	C9383	C0149978	Colon/Rectal Cancer
Bowel (BOWEL)	Colorectal Adenocarcinoma (COADREAD)	Signet Ring Cell Adenocarcinoma of the Colon and Rectum (SRCCR)			Colorectal Cancer	SaddleBrown	C43586	C1707440	Colon/Rectal Cancer
Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)				Gastrointestinal Neuroendocrine Tumor	SaddleBrown	C95404	C2987127	
Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum (HGNEC)			Gastrointestinal Neuroendocrine Tumor	SaddleBrown	C96156	C3272607	
Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)	Small Bowel Well-Differentiated Neuroendocrine Tumor (SBWDNET)			Gastrointestinal Neuroendocrine Tumor	SaddleBrown	C96061	C3272528	
Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)	Well-Differentiated Neuroendocrine Tumor of the Appendix (AWDNET)			Gastrointestinal Neuroendocrine Tumor	SaddleBrown	C96422	C3272767	
Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)	Well-Differentiated Neuroendocrine Tumor of the Rectum (RWDNET)			Gastrointestinal Neuroendocrine Tumor	SaddleBrown	C5547	C1335678	
Bowel (BOWEL)	Gastrointestinal Neuroendocrine Tumors (GINET)	Well-Differentiated Neuroendocrine Tumors of the Stomach (SWDNET)			Gastrointestinal Neuroendocrine Tumor	SaddleBrown	C95871	C3272399	
Bowel (BOWEL)	Medullary Carcinoma of the Colon (CMC)				Colorectal Cancer	SaddleBrown	C60641	C1880119	Colon/Rectal Cancer
Bowel (BOWEL)	Small Bowel Cancer (SBC)				Small Bowel Cancer	SaddleBrown	C7724	C0238196	
Bowel (BOWEL)	Small Bowel Cancer (SBC)	Duodenal Adenocarcinoma (DA)			Small Bowel Cancer	SaddleBrown	C7889	C0278804	
Bowel (BOWEL)	Small Intestinal Carcinoma (SIC)				Small Bowel Cancer	SaddleBrown	C7724	C0238196	
CNS/Brain (BRAIN)	Choroid Plexus Tumor (CPT)	Choroid Plexus Carcinoma (CPC)			Choroid Plexus Tumor	Gray	C4715	C0431109	Central Nervous System Cancers
CNS/Brain (BRAIN)	Choroid Plexus Tumor (CPT)	Choroid Plexus Papilloma (CPP)			Choroid Plexus Tumor	Gray	C3698	C0205770	Central Nervous System Cancers
CNS/Brain (BRAIN)	Choroid Plexus Tumor (CPT)	Atypical Choroid Plexus Papilloma (ACPP)			Choroid Plexus Tumor	Gray	C53686	C1266176	Central Nervous System Cancers
CNS/Brain (BRAIN)	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)			Glioma	Gray	C60781	C0004114	Central Nervous System Cancers
